protein,TM_IF,TM_OF,max_tm,pc1,pc2,pc3,type
ASCT2,0.7781,0.7671,0.7781,-1.776,16.987,4.921,Model
ASCT2,0.6344,0.9502,0.9502,111.436,6.818,0.299,Model
ASCT2,0.8759,0.708,0.8759,-53.062,4.511,7.232,Model
ASCT2,0.9142,0.689,0.9142,-70.613,-1.708,3.337,Model
ASCT2,0.6667,0.8593,0.8593,78.369,5.907,6.891,Model
ASCT2,0.83,0.731,0.83,-30.911,8.51,5.33,Model
ASCT2,0.6249,0.9572,0.9572,120.328,6.507,1.113,Model
ASCT2,0.9052,0.6887,0.9052,-69.505,9.758,8.877,Model
ASCT2,0.9201,0.6441,0.9201,-84.216,-48.515,-21.367,Model
ASCT2,0.9388,0.6604,0.9388,-89.4,-6.629,6.546,Model
ASCT2,0.9382,0.669,0.9382,-86.116,6.599,9.323,Model
ASCT2,0.9185,0.6769,0.9185,-77.996,0.011,7.049,Model
ASCT2,0.9205,0.6785,0.9205,-76.53,6.533,10.471,Model
ASCT2,0.9124,0.6838,0.9124,-72.853,13.337,7.796,Model
ASCT2,0.6281,0.9498,0.9498,113.839,1.118,5.431,Model
ASCT2,0.8976,0.6896,0.8976,-65.416,14.754,8.178,Model
ASCT2,0.6255,0.9575,0.9575,121.363,9.49,1.668,Model
ASCT2,0.8845,0.695,0.8845,-62.706,7.713,8.641,Model
ASCT2,0.8893,0.7007,0.8893,-63.039,1.861,9.135,Model
ASCT2,0.9316,0.6787,0.9316,-80.216,-1.441,7.96,Model
ASCT2,0.9345,0.673,0.9345,-83.257,-2.69,7.872,Model
ASCT2,0.9416,0.6548,0.9416,-90.826,-25.192,-6.241,Model
ASCT2,0.9289,0.6712,0.9289,-83.775,3.393,9.427,Model
ASCT2,0.9307,0.6765,0.9307,-81.214,4.242,10.758,Model
ASCT2,0.8991,0.6894,0.8991,-67.089,12.094,9.56,Model
ASCT2,0.6272,0.9574,0.9574,119.136,10.221,2.35,Model
ASCT2,0.6213,0.9584,0.9584,126.283,5.41,0.057,Model
ASCT2,0.9262,0.6763,0.9262,-78.263,4.829,8.132,Model
ASCT2,0.6265,0.9483,0.9483,110.738,3.303,4.423,Model
ASCT2,0.8583,0.709,0.8583,-48.662,-3.2,6.817,Model
ASCT2,0.9058,0.6864,0.9058,-68.458,10.002,9.017,Model
ASCT2,0.9201,0.6812,0.9201,-75.888,4.441,9.969,Model
ASCT2,0.8472,0.7156,0.8472,-43.72,14,8.615,Model
ASCT2,0.9062,0.6934,0.9062,-67.716,2.884,3.378,Model
ASCT2,0.9315,0.6581,0.9315,-82.018,-38.506,-21.16,Model
ASCT2,0.9369,0.6702,0.9369,-84.48,-4.505,8.295,Model
ASCT2,0.8786,0.7074,0.8786,-54.81,12.398,8.3,Model
ASCT2,0.621,0.9565,0.9565,123.167,8.213,-0.275,Model
ASCT2,0.8331,0.7253,0.8331,-34.185,7.06,5.043,Model
ASCT2,0.7882,0.7588,0.7882,-9.058,8.569,7.243,Model
ASCT2,0.8981,0.6927,0.8981,-65.237,-6.196,1.608,Model
ASCT2,0.8361,0.7238,0.8361,-34.868,16.777,9.383,Model
ASCT2,0.9199,0.691,0.9199,-72.226,3.633,4.845,Model
ASCT2,0.9004,0.7002,0.9004,-63.755,3.221,6.62,Model
ASCT2,0.818,0.7312,0.818,-27.834,12.827,10.886,Model
ASCT2,0.9326,0.6856,0.9326,-75.945,2.535,4.822,Model
ASCT2,0.8142,0.7483,0.8142,-19.013,6.757,6.353,Model
ASCT2,0.9143,0.6832,0.9143,-70.477,13.968,11.293,Model
ASCT2,0.9114,0.6929,0.9114,-68.073,2.457,6.271,Model
ASCT2,0.7588,0.7926,0.7926,20.816,12.806,3.834,Model
ASCT2,0.8818,0.6954,0.8818,-64.038,5.694,7.612,Model
ASCT2,0.8955,0.6961,0.8955,-63.705,9.359,7.297,Model
ASCT2,0.889,0.7026,0.889,-59.949,8.78,7.073,Model
ASCT2,0.6219,0.9485,0.9485,118.574,9.248,2.173,Model
ASCT2,0.918,0.6803,0.918,-71.385,-22.938,-15.53,Model
ASCT2,0.8773,0.7089,0.8773,-53.721,8.791,8.612,Model
ASCT2,0.9275,0.6714,0.9275,-81.871,-11.77,2.384,Model
ASCT2,0.819,0.7266,0.819,-30.946,12.812,8.618,Model
ASCT2,0.8724,0.7039,0.8724,-56.907,-2.329,3.986,Model
ASCT2,0.8618,0.7076,0.8618,-49.965,8.904,7.771,Model
ASCT2,0.6171,0.9559,0.9559,127.114,7.914,2.173,Model
ASCT2,0.9084,0.6802,0.9084,-76.221,-0.244,9.242,Model
ASCT2,0.9224,0.6757,0.9224,-79.795,-6.864,5.827,Model
ASCT2,0.8719,0.709,0.8719,-54.248,5.387,8.463,Model
ASCT2,0.9298,0.6596,0.9298,-82.64,-31.36,-16.463,Model
ASCT2,0.932,0.6804,0.932,-78.22,3.179,10.266,Model
ASCT2,0.9163,0.6762,0.9163,-78.944,-5.693,7.047,Model
ASCT2,0.9261,0.6747,0.9261,-80.955,-7.604,5.05,Model
ASCT2,0.8877,0.6957,0.8877,-63.452,8.884,7.022,Model
ASCT2,0.9196,0.6753,0.9196,-80.457,-0.422,8.088,Model
ASCT2,0.9175,0.6841,0.9175,-75.423,2.856,7.852,Model
ASCT2,0.9099,0.6851,0.9099,-71.404,-16.888,-3.831,Model
ASCT2,0.9122,0.6838,0.9122,-75.189,2.136,10.325,Model
ASCT2,0.7793,0.7762,0.7793,2.651,11.343,9.836,Model
ASCT2,0.6665,0.9103,0.9103,87.108,-0.442,5.613,Model
ASCT2,0.9349,0.6738,0.9349,-82.379,-4.776,6.163,Model
ASCT2,0.9153,0.6851,0.9153,-74.305,-1.487,6.629,Model
ASCT2,0.6236,0.9626,0.9626,125.366,8.939,2.196,Model
ASCT2,0.8385,0.7272,0.8385,-39.01,9.043,9.546,Model
ASCT2,0.9113,0.6852,0.9113,-72.084,-9.767,1.059,Model
ASCT2,0.8718,0.7121,0.8718,-50.787,10.518,8.332,Model
ASCT2,0.9341,0.6751,0.9341,-81.843,-8.948,5.593,Model
ASCT2,0.9074,0.6881,0.9074,-71.329,7.545,8.718,Model
ASCT2,0.9171,0.6722,0.9171,-81.679,-1.455,8.667,Model
ASCT2,0.9089,0.6764,0.9089,-77.617,2.682,10.31,Model
ASCT2,0.8908,0.6905,0.8908,-66.986,10.293,7.34,Model
ASCT2,0.881,0.6944,0.881,-62.014,12.374,6.355,Model
ASCT2,0.9086,0.6918,0.9086,-70.978,-0.147,3.567,Model
ASCT2,0.9328,0.6849,0.9328,-77.237,-2.607,3.126,Model
ASCT2,0.879,0.6938,0.879,-61.998,-11.366,-8.134,Model
ASCT2,0.8093,0.7346,0.8093,-25.139,13.793,6.971,Model
ASCT2,0.7809,0.7616,0.7809,-7.612,7.302,6.501,Model
ASCT2,0.6158,0.9465,0.9465,121.515,10.099,3.356,Model
ASCT2,0.8021,0.7492,0.8021,-16.609,13.407,5.981,Model
ASCT2,0.8778,0.7033,0.8778,-58.065,6.205,2.845,Model
ASCT2,0.832,0.7286,0.832,-32.123,8.726,1.537,Model
ASCT2,0.9183,0.6892,0.9183,-71.39,4.772,8.459,Model
ASCT2,0.9098,0.6952,0.9098,-68.081,2.254,4.388,Model
ASCT2,0.79,0.7552,0.79,-12.997,4.669,5.133,Model
ASCT2,0.7903,0.7551,0.7903,-12.357,11.164,6.204,Model
ASCT2,0.9273,0.6857,0.9273,-76.197,2.459,3.395,Model
ASCT2,0.7389,0.808,0.808,30.002,8.704,8.49,Model
ASCT2,0.8575,0.7115,0.8575,-50.061,6.903,3.429,Model
ASCT2,0.9261,0.6864,0.9261,-74.913,2.827,4.772,Model
ASCT2,0.7892,0.7541,0.7892,-13.082,3.735,5.164,Model
ASCT2,0.612,0.9405,0.9405,117.926,6.206,4.674,Model
ASCT2,0.9009,0.685,0.9009,-71.664,-7.979,-1.552,Model
ASCT2,0.9034,0.6824,0.9034,-71.586,-16.203,-6.415,Model
ASCT2,0.9122,0.6795,0.9122,-76.384,-11.399,3.451,Model
ASCT2,0.9146,0.6806,0.9146,-77.374,-7.078,4.105,Model
ASCT2,0.6188,0.9564,0.9564,125.218,12.261,4.274,Model
ASCT2,0.8997,0.6877,0.8997,-70.312,9.937,9.994,Model
ASCT2,0.9124,0.6795,0.9124,-76.185,-6.871,3.107,Model
ASCT2,0.9229,0.6758,0.9229,-81.436,-8.121,1.956,Model
ASCT2,0.6197,0.9541,0.9541,124.554,7.401,1.93,Model
ASCT2,0.8823,0.6861,0.8823,-63.243,-28.06,-21.049,Model
ASCT2,0.6187,0.9458,0.9458,118.12,8.627,2.652,Model
ASCT2,0.9194,0.6753,0.9194,-81.053,0.149,6.992,Model
ASCT2,0.6304,0.9489,0.9489,114.589,-4.731,2.694,Model
ASCT2,0.9031,0.6854,0.9031,-71.942,-9.757,2.69,Model
ASCT2,0.8761,0.7001,0.8761,-60.149,1.95,4.801,Model
ASCT2,0.8516,0.7149,0.8516,-47.56,1.32,5.37,Model
ASCT2,0.7072,0.8382,0.8382,53.024,4.804,6.156,Model
ASCT2,0.7983,0.7622,0.7983,-13.741,8.956,9.044,Model
ASCT2,0.9137,0.6825,0.9137,-74.274,-12.105,-0.719,Model
ASCT2,0.8967,0.6751,0.8967,-70.929,-27.477,-17.662,Model
ASCT2,0.8529,0.7144,0.8529,-46.044,9.623,7.466,Model
ASCT2,0.9121,0.681,0.9121,-75.042,-9.882,1.605,Model
ASCT2,0.9182,0.6722,0.9182,-80.593,-9.802,1.333,Model
ASCT2,0.8893,0.6921,0.8893,-65.629,2.646,9.285,Model
ASCT2,0.9156,0.6818,0.9156,-76.711,-6.017,5.1,Model
ASCT2,0.6186,0.9535,0.9535,122.683,9.233,2.902,Model
ASCT2,0.918,0.6754,0.918,-79.329,-9.397,3.401,Model
ASCT2,0.9092,0.6808,0.9092,-73.433,-20.434,-9.76,Model
ASCT2,0.8831,0.6925,0.8831,-63.467,-6.783,2.129,Model
ASCT2,0.9067,0.6773,0.9067,-71.603,-25.306,-18.35,Model
ASCT2,0.8318,0.7168,0.8318,-36.561,17.466,5.79,Model
ASCT2,0.8332,0.7191,0.8332,-35.088,19.339,7.288,Model
ASCT2,0.6096,0.9487,0.9487,128.233,5.988,2.669,Model
ASCT2,0.9041,0.6909,0.9041,-68.845,6.573,3.937,Model
ASCT2,0.6194,0.9431,0.9431,119.071,1.935,2.716,Model
ASCT2,0.6132,0.9448,0.9448,123.372,6.768,3.891,Model
ASCT2,0.8824,0.7018,0.8824,-57.934,12.186,6.342,Model
ASCT2,0.9282,0.6868,0.9282,-73.933,5.33,4.654,Model
ASCT2,0.8922,0.6955,0.8922,-66.262,1.257,1.714,Model
ASCT2,0.8714,0.7013,0.8714,-56.052,11.186,6.793,Model
ASCT2,0.8997,0.6797,0.8997,-71.438,16.448,9.088,Model
ASCT2,0.836,0.7218,0.836,-36.317,15.023,8.341,Model
ASCT2,0.6116,0.9491,0.9491,127.787,4.239,0.768,Model
ASCT2,0.8543,0.7016,0.8543,-50.187,16.852,5.25,Model
ASCT2,0.6158,0.9426,0.9426,120.136,7.066,3.829,Model
ASCT2,0.838,0.716,0.838,-37.22,18.778,5.675,Model
ASCT2,0.899,0.6863,0.899,-71.35,9.455,6.336,Model
ASCT2,0.6161,0.9543,0.9543,126.199,5.102,2.406,Model
ASCT2,0.8279,0.7269,0.8279,-33.892,9.432,4.58,Model
ASCT2,0.6128,0.9418,0.9418,122.059,9.619,3.631,Model
ASCT2,0.8919,0.6891,0.8919,-68.539,11.28,6.463,Model
ASCT2,0.6131,0.9555,0.9555,130.656,4.03,2.235,Model
ASCT2,0.8809,0.6993,0.8809,-60.472,7.85,5.315,Model
ASCT2,0.6203,0.9499,0.9499,120.883,8.625,2.877,Model
ASCT2,0.9104,0.685,0.9104,-74.988,-2.889,-0.355,Model
ASCT2,0.6209,0.9496,0.9496,121.038,13.681,4.379,Model
ASCT2,0.613,0.9536,0.9536,128.466,6.853,2.859,Model
ASCT2,0.9169,0.6756,0.9169,-79.144,-14.543,-3.876,Model
ASCT2,0.8978,0.6891,0.8978,-70.258,1.89,0.109,Model
ASCT2,0.615,0.9519,0.9519,125.867,4.83,2.089,Model
ASCT2,0.8906,0.6923,0.8906,-66.981,10.992,6.635,Model
ASCT2,0.8739,0.699,0.8739,-59.017,-1.447,1.223,Model
ASCT2,0.6195,0.9565,0.9565,125.874,6.035,1.371,Model
ASCT2,0.6195,0.953,0.953,123.843,6.274,1.883,Model
ASCT2,0.6195,0.9492,0.9492,121.007,9.141,3.351,Model
ASCT2,0.9097,0.6755,0.9097,-76.033,-19.792,-7.284,Model
ASCT2,0.6134,0.9532,0.9532,129.907,8.725,2.79,Model
ASCT2,0.6191,0.9523,0.9523,124.994,7.563,2.162,Model
ASCT2,0.6194,0.953,0.953,126.034,7.385,1.547,Model
ASCT2,0.8199,0.7293,0.8199,-28.561,16.134,8.318,Model
ASCT2,0.6198,0.9522,0.9522,122.499,8.086,3.062,Model
ASCT2,0.6196,0.9505,0.9505,122.142,9.166,3.123,Model
ASCT2,0.8947,0.689,0.8947,-69.577,-8.013,-2.533,Model
ASCT2,0.8975,0.6884,0.8975,-70.657,-0.191,1.793,Model
ASCT2,0.9178,0.6723,0.9178,-80.143,-14.921,-0.704,Model
ASCT2,0.7379,0.8075,0.8075,26.679,7.535,6.291,Model
ASCT2,0.619,0.9467,0.9467,118.218,5.758,2.814,Model
ASCT2,0.7527,0.8021,0.8021,17.854,8.59,6.986,Model
ASCT2,0.6228,0.954,0.954,121.849,5.615,1.554,Model
ASCT2,0.6686,0.9034,0.9034,85.845,-5.675,4.059,Model
ASCT2,0.8653,0.6964,0.8653,-55.478,18.877,7.91,Model
ASCT2,0.8425,0.7159,0.8425,-41.063,15.562,7.308,Model
ASCT2,0.7238,0.8315,0.8315,47.213,2.751,5.174,Model
ASCT2,0.8913,0.6911,0.8913,-66.85,13.401,6.736,Model
ASCT2,0.9083,0.6848,0.9083,-73.725,8.166,4.355,Model
ASCT2,0.8029,0.7427,0.8029,-17.75,13.018,6.505,Model
ASCT2,0.6177,0.9488,0.9488,122.759,6.175,2.05,Model
ASCT2,0.8601,0.6975,0.8601,-51.519,19.672,7.886,Model
ASCT2,0.6127,0.9483,0.9483,127.929,2.591,2.802,Model
ASCT2,0.9005,0.6856,0.9005,-71.088,11.055,7.804,Model
ASCT2,0.6261,0.9438,0.9438,116.16,0.335,2.233,Model
ASCT2,0.8975,0.6859,0.8975,-69.439,12.288,8.449,Model
ASCT2,0.9027,0.6839,0.9027,-71.397,12.651,8.532,Model
ASCT2,0.9024,0.6881,0.9024,-71.148,7.335,5.306,Model
ASCT2,0.6427,0.9271,0.9271,99.709,-3.357,3.856,Model
ASCT2,0.8799,0.6907,0.8799,-63.023,15.475,7.088,Model
ASCT2,0.9133,0.6849,0.9133,-75.163,7.055,4.34,Model
ASCT2,0.7463,0.8088,0.8088,26.862,2.84,5.814,Model
ASCT2,0.6744,0.8947,0.8947,81.328,-1.395,4.827,Model
ASCT2,0.9016,0.6864,0.9016,-71.872,9.349,5.995,Model
ASCT2,0.6189,0.9551,0.9551,125.188,6.287,1.799,Model
ASCT2,0.617,0.9544,0.9544,127.522,4.752,1.959,Model
ASCT2,0.6201,0.9549,0.9549,124.742,5.664,2.545,Model
ASCT2,0.6224,0.9566,0.9566,124.156,4.152,0.441,Model
ASCT2,0.6214,0.95,0.95,122.307,8.869,2.103,Model
ASCT2,0.9092,0.6812,0.9092,-74.683,13.099,7.338,Model
ASCT2,0.8793,0.692,0.8793,-62.018,16.415,8.153,Model
ASCT2,0.9099,0.6783,0.9099,-77.037,-6.812,-1.575,Model
ASCT2,0.8814,0.6949,0.8814,-62.368,13.003,6.774,Model
ASCT2,0.6205,0.9561,0.9561,126.234,4.816,0.764,Model
ASCT2,0.8952,0.6911,0.8952,-68.676,11.328,6.796,Model
ASCT2,0.8989,0.6852,0.8989,-71.104,11.712,6.806,Model
ASCT2,0.8829,0.6902,0.8829,-63.931,14.204,7.752,Model
ASCT2,0.6774,0.8996,0.8996,82.589,-4.584,5.365,Model
ASCT2,0.9041,0.6851,0.9041,-74.762,0.529,0.888,Model
ASCT2,0.6182,0.9517,0.9517,125.641,5.747,1.344,Model
ASCT2,0.7098,0.8369,0.8369,53.922,2.726,6.096,Model
ASCT2,0.6257,0.949,0.949,117.819,3.098,1.867,Model
ASCT2,0.7099,0.8351,0.8351,54.713,3.347,5.03,Model
ASCT2,0.8808,0.6875,0.8808,-64.162,18.536,8.132,Model
ASCT2,0.6236,0.9513,0.9513,119.462,5.491,1.344,Model
ASCT2,0.6214,0.9564,0.9564,125.941,3.567,-0.119,Model
ASCT2,0.7099,0.8448,0.8448,55.148,-0.513,4.855,Model
ASCT2,0.9051,0.6869,0.9051,-73.766,2.305,1.599,Model
ASCT2,0.8617,0.7007,0.8617,-51.849,17.711,8.798,Model
ASCT2,0.6214,0.9487,0.9487,122.341,4.465,0.975,Model
ASCT2,0.6174,0.954,0.954,128.804,2.818,0.735,Model
ASCT2,0.6604,0.9304,0.9304,98.168,-7.157,3.002,Model
ASCT2,0.9049,0.6857,0.9049,-74.051,-3.191,0.113,Model
ASCT2,0.8534,0.7166,0.8534,-45.04,12.029,6.906,Model
ASCT2,0.6211,0.9413,0.9413,116.951,-0.8,2.6,Model
ASCT2,0.9071,0.6852,0.9071,-73.174,5.048,3.326,Model
ASCT2,0.9132,0.6845,0.9132,-75.032,8.326,4.978,Model
ASCT2,0.8999,0.6844,0.8999,-69.42,16.131,8.448,Model
ASCT2,0.7267,0.8261,0.8261,41.2,3.954,6.339,Model
ASCT2,0.9119,0.6819,0.9119,-74.561,11.494,6.974,Model
ASCT2,0.8462,0.7058,0.8462,-44.565,19.152,8.709,Model
ASCT2,0.6296,0.9407,0.9407,112.238,1.158,3.116,Model
ASCT2,0.6348,0.9388,0.9388,109.036,-3.626,2.579,Model
ASCT2,0.9042,0.6818,0.9042,-71.561,16.001,8.994,Model
ASCT2,0.7707,0.7813,0.7813,9.548,9.87,7.443,Model
ASCT2,0.6252,0.9357,0.9357,112.883,-0.581,2.582,Model
ASCT2,0.8328,0.7193,0.8328,-34.986,18.322,7.635,Model
ASCT2,0.6154,0.9444,0.9444,123.914,2.233,2.096,Model
ASCT2,0.6152,0.9504,0.9504,125.852,7.484,2.655,Model
ASCT2,0.8898,0.687,0.8898,-67.259,15.341,9.017,Model
ASCT2,0.6961,0.8563,0.8563,64.635,0.608,6.091,Model
ASCT2,0.6131,0.9457,0.9457,125.744,7.404,2.122,Model
ASCT2,0.6205,0.9458,0.9458,119.552,1.239,1.776,Model
ASCT2,0.8461,0.712,0.8461,-42.54,17.171,7.186,Model
ASCT2,0.6256,0.9499,0.9499,117.851,2.093,1.787,Model
ASCT2,0.8897,0.6896,0.8897,-67.433,11.864,6.315,Model
ASCT2,0.6147,0.9533,0.9533,132.844,3.57,1.448,Model
ASCT2,0.619,0.9568,0.9568,128.648,2.663,0.168,Model
ASCT2,0.6212,0.9566,0.9566,126.137,5.048,1.01,Model
ASCT2,0.6197,0.9516,0.9516,123.327,5.812,1.532,Model
ASCT2,0.7403,0.8122,0.8122,27.372,7.201,6.368,Model
ASCT2,0.8932,0.6847,0.8932,-68.5,15.23,8.006,Model
ASCT2,0.6288,0.9493,0.9493,116.01,0.433,0.706,Model
ASCT2,0.8938,0.6861,0.8938,-69.427,14.609,7.774,Model
ASCT2,0.6236,0.9542,0.9542,121.486,8.417,2.556,Model
ASCT2,0.6337,0.9512,0.9512,114.387,1.202,1.863,Model
ASCT2,0.62,0.956,0.956,124.805,6.47,2.598,Model
ASCT2,0.6221,0.9508,0.9508,120.407,4.488,1.594,Model
ASCT2,0.6883,0.8836,0.8836,74.566,-2.164,4.882,Model
ASCT2,0.6375,0.9496,0.9496,114.245,-7.033,1.276,Model
ASCT2,0.7094,0.8374,0.8374,54.774,3.042,5.852,Model
ASCT2,0.6153,0.9543,0.9543,130.325,3.564,1.762,Model
ASCT2,0.6286,0.9519,0.9519,117.972,3.101,0.666,Model
ASCT2,0.6199,0.953,0.953,123.854,7.32,2.161,Model
ASCT2,0.6172,0.9568,0.9568,128.355,3.574,1.187,Model
ASCT2,0.6537,0.9404,0.9404,102.926,-5.331,2.668,Model
ASCT2,0.6333,0.9526,0.9526,115.479,2.388,1.326,Model
ASCT2,0.6382,0.9467,0.9467,110.563,-3.205,1.017,Model
ASCT2,0.6394,0.9476,0.9476,112.492,-3.432,1.357,Model
ASCT2,0.622,0.9554,0.9554,125.258,4.357,0.313,Model
ASCT2,0.8913,0.6892,0.8913,-67.293,12.541,7.253,Model
ASCT2,0.6602,0.9343,0.9343,99.061,-4.92,3.546,Model
ASCT2,0.62,0.9558,0.9558,126.569,3.096,0.849,Model
ASCT2,0.6206,0.9578,0.9578,125.922,4.074,0.997,Model
FZD7,0.9309,0.9353,0.9353,1.732,0.198,0.294,Model
FZD7,0.9257,0.8957,0.9257,-12.678,0.612,-8.506,Model
FZD7,0.9262,0.9135,0.9262,-9.544,3.741,-3.213,Model
FZD7,0.9309,0.9375,0.9375,1.461,2.684,-2.709,Model
FZD7,0.9014,0.919,0.919,5.075,5.721,-4.365,Model
FZD7,0.9428,0.9171,0.9428,-13.122,4.069,0.652,Model
FZD7,0.9328,0.9324,0.9328,-4.164,2.573,-1.63,Model
FZD7,0.9284,0.9006,0.9284,-12.777,2.238,-3.521,Model
FZD7,0.9428,0.9225,0.9428,-10.036,2.07,-2.975,Model
FZD7,0.9252,0.9367,0.9367,2.538,2.083,1.217,Model
FZD7,0.9256,0.9307,0.9307,-1.094,3.105,1.098,Model
FZD7,0.9201,0.9293,0.9293,2.617,2.176,0.688,Model
FZD7,0.9266,0.9303,0.9303,1.733,2.088,0.778,Model
FZD7,0.9314,0.9449,0.9449,3.331,3.338,2.664,Model
FZD7,0.944,0.9149,0.944,-12.883,0.936,-0.613,Model
FZD7,0.9237,0.9377,0.9377,2.345,3.119,0.669,Model
FZD7,0.9492,0.9223,0.9492,-10.625,4.037,-0.637,Model
FZD7,0.8912,0.9127,0.9127,1.913,2.711,-14.284,Model
FZD7,0.9136,0.9379,0.9379,3.51,3.914,0.014,Model
FZD7,0.9353,0.9313,0.9353,-3.758,2.151,-0.857,Model
FZD7,0.9086,0.925,0.925,3.322,6.44,-1.095,Model
FZD7,0.943,0.9279,0.943,-11.35,3.326,-2.314,Model
FZD7,0.9234,0.934,0.934,-1.602,1.128,0.808,Model
FZD7,0.9331,0.9406,0.9406,1.755,2.798,1.22,Model
FZD7,0.9124,0.933,0.933,2.565,2.759,-1.981,Model
FZD7,0.9327,0.9326,0.9327,1.28,4.683,0.567,Model
FZD7,0.9192,0.924,0.924,1.857,3.217,1.228,Model
FZD7,0.9259,0.9341,0.9341,0.722,2.431,1.313,Model
FZD7,0.9434,0.916,0.9434,-11.176,1.285,0.797,Model
