protein,tm_IF,tm_OF,nseq
MCT1 (without templates),0.9773,0.801,32
MCT1 (without templates),0.9759,0.7973,32
MCT1 (without templates),0.9737,0.8009,32
MCT1 (without templates),0.9805,0.8103,32
MCT1 (without templates),0.9782,0.8058,32
MCT1 (without templates),0.9734,0.842,32
MCT1 (without templates),0.9753,0.8187,32
MCT1 (without templates),0.9733,0.8166,32
MCT1 (without templates),0.9792,0.8064,32
MCT1 (without templates),0.967,0.8349,32
MCT1 (without templates),0.959,0.8784,32
MCT1 (without templates),0.9775,0.8024,32
MCT1 (without templates),0.9696,0.8209,32
MCT1 (without templates),0.9562,0.8565,32
MCT1 (without templates),0.9587,0.8749,32
MCT1 (without templates),0.975,0.8199,32
MCT1 (without templates),0.9766,0.8168,32
MCT1 (without templates),0.9746,0.8028,32
MCT1 (without templates),0.9749,0.7996,32
MCT1 (without templates),0.9789,0.8042,32
STP10,0.9127,0.9235,32
STP10,0.898,0.9296,32
STP10,0.8849,0.9432,32
STP10,0.9073,0.9234,32
STP10,0.946,0.8897,32
STP10,0.9042,0.9268,32
STP10,0.9078,0.9277,32
STP10,0.9361,0.903,32
STP10,0.9072,0.9286,32
STP10,0.8803,0.9429,32
STP10,0.8828,0.9465,32
STP10,0.8937,0.9406,32
STP10,0.8976,0.9337,32
STP10,0.8817,0.9428,32
STP10,0.9233,0.897,32
STP10,0.8822,0.9372,32
STP10,0.8892,0.9374,32
STP10,0.8957,0.9357,32
STP10,0.9226,0.9147,32
STP10,0.8794,0.9454,32
STP10,0.9009,0.926,32
STP10,0.8802,0.9435,32
STP10,0.9182,0.9149,32
STP10,0.9092,0.9217,32
STP10,0.9256,0.9107,32
STP10,0.8868,0.9404,32
STP10,0.9101,0.9225,32
STP10,0.8937,0.936,32
STP10,0.8832,0.9371,32
STP10,0.9166,0.9186,32
STP10,0.9109,0.9215,32
STP10,0.9019,0.9287,32
STP10,0.9127,0.9194,32
STP10,0.8773,0.9494,32
STP10,0.9132,0.9228,32
STP10,0.9159,0.9201,32
STP10,0.9537,0.8737,32
STP10,0.8941,0.9303,32
STP10,0.8788,0.9464,32
STP10,0.8863,0.9421,32
STP10,0.8891,0.9344,32
STP10,0.8808,0.9425,32
STP10,0.9072,0.9251,32
STP10,0.8895,0.9352,32
STP10,0.9159,0.9127,32
STP10,0.9175,0.9221,32
STP10,0.9256,0.9144,32
STP10,0.9247,0.9153,32
STP10,0.8988,0.9298,32
STP10,0.8681,0.9468,32
ZnT8,0.8679,0.8315,32
ZnT8,0.82,0.8397,32
ZnT8,0.8487,0.845,32
ZnT8,0.8635,0.8349,32
ZnT8,0.861,0.839,32
ZnT8,0.8208,0.8335,32
ZnT8,0.8616,0.8367,32
ZnT8,0.8434,0.8478,32
ZnT8,0.7795,0.8362,32
ZnT8,0.8618,0.8345,32
ZnT8,0.8391,0.8483,32
ZnT8,0.8794,0.8212,32
ZnT8,0.8755,0.8291,32
ZnT8,0.87,0.8402,32
ZnT8,0.8765,0.839,32
ZnT8,0.8365,0.8654,32
ZnT8,0.8336,0.8592,32
ZnT8,0.8167,0.8468,32
ZnT8,0.8279,0.8399,32
ZnT8,0.8527,0.8399,32
ZnT8,0.8047,0.8641,32
ZnT8,0.8112,0.8451,32
ZnT8,0.7874,0.8442,32
ZnT8,0.9084,0.8122,32
ZnT8,0.8535,0.8325,32
ZnT8,0.8632,0.8428,32
ZnT8,0.8857,0.815,32
ZnT8,0.7719,0.8904,32
ZnT8,0.8055,0.8357,32
ZnT8,0.8495,0.8507,32
ZnT8,0.8171,0.8427,32
ZnT8,0.8261,0.8462,32
ZnT8,0.8475,0.8256,32
ZnT8,0.8351,0.8439,32
ZnT8,0.873,0.8323,32
ZnT8,0.8597,0.8302,32
ZnT8,0.8071,0.8435,32
ZnT8,0.8899,0.8034,32
ZnT8,0.8763,0.8266,32
ZnT8,0.8328,0.8331,32
ZnT8,0.8315,0.8501,32
ZnT8,0.8276,0.8459,32
ZnT8,0.8024,0.843,32
ZnT8,0.8858,0.809,32
ZnT8,0.7853,0.8375,32
ZnT8,0.8783,0.8196,32
ZnT8,0.8514,0.8363,32
ZnT8,0.8278,0.8485,32
ZnT8,0.8581,0.8429,32
ZnT8,0.8425,0.8493,32
Lat1,0.9182,0.9426,32
Lat1,0.8851,0.924,32
Lat1,0.9014,0.9524,32
Lat1,0.9255,0.9181,32
Lat1,0.8978,0.9576,32
Lat1,0.9356,0.895,32
Lat1,0.8994,0.9504,32
Lat1,0.9192,0.9342,32
Lat1,0.8843,0.9575,32
Lat1,0.8995,0.951,32
Lat1,0.8866,0.9607,32
Lat1,0.9259,0.9212,32
Lat1,0.9049,0.9343,32
Lat1,0.9107,0.9478,32
Lat1,0.8989,0.957,32
Lat1,0.9121,0.9049,32
Lat1,0.8774,0.9541,32
Lat1,0.8904,0.9581,32
Lat1,0.9487,0.8921,32
Lat1,0.9166,0.9394,32
Lat1,0.9039,0.9544,32
Lat1,0.9265,0.9362,32
Lat1,0.9272,0.9346,32
Lat1,0.9075,0.9402,32
Lat1,0.9048,0.9522,32
Lat1,0.9315,0.9181,32
Lat1,0.8803,0.9423,32
Lat1,0.9103,0.9453,32
Lat1,0.9157,0.9434,32
Lat1,0.8879,0.9629,32
Lat1,0.8886,0.9546,32
Lat1,0.9132,0.9358,32
Lat1,0.8508,0.9451,32
Lat1,0.9423,0.9127,32
Lat1,0.9098,0.9487,32
Lat1,0.9155,0.9451,32
Lat1,0.9175,0.9171,32
Lat1,0.9421,0.9145,32
Lat1,0.9327,0.8696,32
Lat1,0.9315,0.9269,32
Lat1,0.9232,0.9328,32
Lat1,0.9549,0.8996,32
Lat1,0.9167,0.8786,32
Lat1,0.8827,0.9173,32
Lat1,0.8963,0.9036,32
Lat1,0.9044,0.9402,32
Lat1,0.9611,0.8855,32
Lat1,0.9231,0.8841,32
Lat1,0.9073,0.9392,32
Lat1,0.9016,0.9402,32
MCT1 (with templates),0.7745,0.9789,32
MCT1 (with templates),0.9432,0.8728,32
MCT1 (with templates),0.876,0.9517,32
MCT1 (with templates),0.9758,0.8037,32
MCT1 (with templates),0.9751,0.8133,32
MCT1 (with templates),0.9729,0.846,32
MCT1 (with templates),0.8411,0.9683,32
MCT1 (with templates),0.9763,0.8048,32
MCT1 (with templates),0.9665,0.8573,32
MCT1 (with templates),0.9543,0.8707,32
MCT1 (with templates),0.9482,0.876,32
MCT1 (with templates),0.9748,0.8048,32
MCT1 (with templates),0.9392,0.8822,32
MCT1 (with templates),0.9608,0.8714,32
MCT1 (with templates),0.9531,0.8832,32
MCT1 (with templates),0.979,0.8189,32
MCT1 (with templates),0.7493,0.9625,32
MCT1 (with templates),0.9506,0.8801,32
MCT1 (with templates),0.7992,0.9818,32
MCT1 (with templates),0.9468,0.8873,32
MCT1 (with templates),0.9252,0.9077,32
MCT1 (with templates),0.979,0.7984,32
MCT1 (with templates),0.9266,0.8999,32
MCT1 (with templates),0.7768,0.9769,32
MCT1 (with templates),0.9762,0.8019,32
MCT1 (with templates),0.9771,0.8108,32
MCT1 (with templates),0.9398,0.902,32
MCT1 (with templates),0.9483,0.8786,32
MCT1 (with templates),0.7661,0.9802,32
MCT1 (with templates),0.956,0.869,32
MCT1 (with templates),0.9612,0.8536,32
MCT1 (with templates),0.9675,0.8245,32
MCT1 (with templates),0.9631,0.8375,32
MCT1 (with templates),0.9739,0.7877,32
MCT1 (with templates),0.879,0.9583,32
MCT1 (with templates),0.9244,0.903,32
MCT1 (with templates),0.8353,0.9802,32
MCT1 (with templates),0.9759,0.8056,32
MCT1 (with templates),0.9092,0.9091,32
MCT1 (with templates),0.7679,0.9715,32
MCT1 (with templates),0.9395,0.8985,32
MCT1 (with templates),0.8172,0.9845,32
MCT1 (with templates),0.7772,0.9727,32
MCT1 (with templates),0.9635,0.858,32
MCT1 (with templates),0.9332,0.8828,32
MCT1 (with templates),0.8586,0.9626,32
MCT1 (with templates),0.9226,0.8962,32
MCT1 (with templates),0.927,0.9113,32
MCT1 (with templates),0.7709,0.9784,32
MCT1 (with templates),0.9436,0.8876,32
ASCT2,0.8297,0.7258,64
ASCT2,0.6272,0.9574,64
ASCT2,0.8991,0.6894,64
ASCT2,0.8986,0.6733,64
ASCT2,0.897,0.6938,64
ASCT2,0.7791,0.7615,64
ASCT2,0.9142,0.689,64
ASCT2,0.8759,0.708,64
ASCT2,0.6281,0.9498,64
ASCT2,0.7781,0.7671,64
ASCT2,0.6344,0.9502,64
ASCT2,0.8976,0.6896,64
ASCT2,0.8333,0.7249,64
ASCT2,0.7749,0.7631,64
ASCT2,0.9315,0.6581,64
ASCT2,0.9369,0.6702,64
ASCT2,0.9107,0.6897,64
ASCT2,0.9062,0.6934,64
ASCT2,0.8472,0.7156,64
ASCT2,0.9163,0.6878,64
ASCT2,0.9254,0.6804,64
ASCT2,0.9058,0.6864,64
ASCT2,0.9201,0.6812,64
ASCT2,0.92,0.6881,64
ASCT2,0.8283,0.7145,64
ASCT2,0.9262,0.6763,64
ASCT2,0.6213,0.9584,64
ASCT2,0.866,0.7092,64
ASCT2,0.7298,0.7128,64
ASCT2,0.6265,0.9483,64
ASCT2,0.8583,0.709,64
ASCT2,0.9371,0.6775,64
ASCT2,0.9382,0.669,64
ASCT2,0.6255,0.9575,64
ASCT2,0.6667,0.8593,64
ASCT2,0.83,0.731,64
ASCT2,0.8845,0.695,64
ASCT2,0.9185,0.6769,64
ASCT2,0.9316,0.6787,64
ASCT2,0.9124,0.6838,64
ASCT2,0.9205,0.6785,64
ASCT2,0.8893,0.7007,64
ASCT2,0.9289,0.6712,64
ASCT2,0.9201,0.6441,64
ASCT2,0.9388,0.6604,64
ASCT2,0.9307,0.6765,64
ASCT2,0.9052,0.6887,64
ASCT2,0.9416,0.6548,64
ASCT2,0.9345,0.673,64
ASCT2,0.6249,0.9572,64
MCT1 (without templates),0.9754,0.8008,64
MCT1 (without templates),0.9778,0.8074,64
MCT1 (without templates),0.976,0.8071,64
MCT1 (without templates),0.9738,0.7942,64
MCT1 (without templates),0.9722,0.7921,64
MCT1 (without templates),0.9781,0.8034,64
MCT1 (without templates),0.9781,0.8101,64
MCT1 (without templates),0.9746,0.7978,64
MCT1 (without templates),0.9769,0.7968,64
MCT1 (without templates),0.979,0.8006,64
MCT1 (without templates),0.9761,0.8003,64
MCT1 (without templates),0.973,0.7933,64
MCT1 (without templates),0.9758,0.7975,64
MCT1 (without templates),0.9761,0.8033,64
MCT1 (without templates),0.9783,0.8099,64
MCT1 (without templates),0.9758,0.7981,64
MCT1 (without templates),0.9782,0.8068,64
MCT1 (without templates),0.9747,0.7969,64
MCT1 (without templates),0.9769,0.799,64
MCT1 (without templates),0.9753,0.8066,64
MCT1 (without templates),0.9748,0.7932,64
MCT1 (without templates),0.974,0.79,64
MCT1 (without templates),0.9693,0.7888,64
MCT1 (without templates),0.9764,0.8036,64
MCT1 (without templates),0.9747,0.7933,64
MCT1 (without templates),0.9738,0.8104,64
MCT1 (without templates),0.9777,0.812,64
MCT1 (without templates),0.9782,0.8004,64
MCT1 (without templates),0.9779,0.7967,64
MCT1 (without templates),0.9739,0.8052,64
MCT1 (without templates),0.9776,0.796,64
MCT1 (without templates),0.9766,0.8015,64
MCT1 (without templates),0.9749,0.7991,64
MCT1 (without templates),0.971,0.7949,64
MCT1 (without templates),0.9791,0.8057,64
MCT1 (without templates),0.9753,0.8074,64
MCT1 (without templates),0.9743,0.7969,64
MCT1 (without templates),0.977,0.8031,64
MCT1 (without templates),0.9766,0.8028,64
MCT1 (without templates),0.9772,0.8034,64
MCT1 (without templates),0.9768,0.8079,64
MCT1 (without templates),0.977,0.7979,64
MCT1 (without templates),0.973,0.7864,64
MCT1 (without templates),0.9766,0.8051,64
MCT1 (without templates),0.9737,0.807,64
MCT1 (without templates),0.9791,0.8037,64
MCT1 (without templates),0.9764,0.8015,64
MCT1 (without templates),0.9758,0.7982,64
MCT1 (without templates),0.9729,0.8159,64
MCT1 (without templates),0.9782,0.8049,64
STP10,0.8803,0.9473,64
STP10,0.9266,0.9112,64
STP10,0.9599,0.875,64
STP10,0.92,0.9205,64
STP10,0.9315,0.9021,64
STP10,0.9057,0.9255,64
STP10,0.9252,0.9122,64
STP10,0.9507,0.8859,64
STP10,0.9245,0.9127,64
STP10,0.898,0.9337,64
STP10,0.9261,0.9082,64
STP10,0.9343,0.9075,64
STP10,0.9154,0.9212,64
STP10,0.8967,0.9322,64
STP10,0.947,0.8851,64
STP10,0.8965,0.9328,64
STP10,0.9571,0.8774,64
STP10,0.9099,0.9246,64
STP10,0.9464,0.8945,64
STP10,0.9016,0.9324,64
STP10,0.9086,0.9263,64
STP10,0.9344,0.9059,64
STP10,0.9092,0.9254,64
STP10,0.9369,0.897,64
STP10,0.8875,0.9412,64
STP10,0.941,0.9005,64
STP10,0.8993,0.9332,64
STP10,0.9584,0.8803,64
STP10,0.8922,0.9371,64
STP10,0.9449,0.8964,64
STP10,0.9211,0.916,64
STP10,0.9484,0.892,64
STP10,0.9582,0.8808,64
STP10,0.9392,0.8978,64
STP10,0.8988,0.9363,64
STP10,0.9068,0.9326,64
STP10,0.8941,0.9369,64
STP10,0.8939,0.9346,64
STP10,0.933,0.9086,64
STP10,0.9093,0.9257,64
STP10,0.9281,0.9104,64
STP10,0.8808,0.9501,64
STP10,0.9111,0.9279,64
STP10,0.9359,0.9008,64
STP10,0.9337,0.9091,64
STP10,0.9519,0.8848,64
STP10,0.9361,0.9006,64
STP10,0.9347,0.9028,64
STP10,0.9179,0.9187,64
STP10,0.9438,0.89,64
ZnT8,0.8593,0.8422,64
ZnT8,0.8216,0.8591,64
ZnT8,0.8305,0.8399,64
ZnT8,0.8406,0.834,64
ZnT8,0.802,0.8467,64
ZnT8,0.8469,0.8512,64
ZnT8,0.8409,0.843,64
ZnT8,0.8487,0.851,64
ZnT8,0.8483,0.8508,64
ZnT8,0.8691,0.8417,64
ZnT8,0.8382,0.8598,64
ZnT8,0.8795,0.8166,64
ZnT8,0.8523,0.8436,64
ZnT8,0.892,0.8279,64
ZnT8,0.8162,0.851,64
ZnT8,0.8496,0.846,64
ZnT8,0.8481,0.8523,64
ZnT8,0.8478,0.8465,64
ZnT8,0.8724,0.8331,64
ZnT8,0.8209,0.841,64
ZnT8,0.8247,0.8532,64
ZnT8,0.8676,0.8444,64
ZnT8,0.8598,0.8524,64
ZnT8,0.8782,0.8376,64
ZnT8,0.857,0.8495,64
ZnT8,0.883,0.8288,64
ZnT8,0.8662,0.8379,64
ZnT8,0.8477,0.8472,64
ZnT8,0.8756,0.8369,64
ZnT8,0.8675,0.8372,64
ZnT8,0.8887,0.8167,64
ZnT8,0.8669,0.8393,64
ZnT8,0.7857,0.859,64
ZnT8,0.8589,0.8517,64
ZnT8,0.8556,0.8492,64
ZnT8,0.8676,0.8403,64
ZnT8,0.8451,0.849,64
ZnT8,0.9172,0.7944,64
ZnT8,0.8485,0.8455,64
ZnT8,0.8728,0.8372,64
ZnT8,0.8489,0.8547,64
ZnT8,0.8321,0.8497,64
ZnT8,0.8164,0.8725,64
ZnT8,0.877,0.8269,64
ZnT8,0.8332,0.8604,64
ZnT8,0.926,0.7823,64
ZnT8,0.8709,0.8372,64
ZnT8,0.8743,0.8356,64
ZnT8,0.8677,0.8411,64
ZnT8,0.8437,0.8375,64
Lat1,0.9415,0.9122,64
Lat1,0.9253,0.896,64
Lat1,0.9497,0.8906,64
Lat1,0.9236,0.8962,64
Lat1,0.8806,0.9722,64
Lat1,0.8706,0.9733,64
Lat1,0.9413,0.8708,64
Lat1,0.9477,0.9037,64
Lat1,0.9431,0.8964,64
Lat1,0.9277,0.9273,64
Lat1,0.9398,0.921,64
Lat1,0.9291,0.9271,64
Lat1,0.9498,0.9018,64
Lat1,0.9054,0.955,64
Lat1,0.9068,0.9502,64
Lat1,0.9437,0.9139,64
Lat1,0.9505,0.8739,64
Lat1,0.9138,0.9449,64
Lat1,0.949,0.9096,64
Lat1,0.9374,0.9248,64
Lat1,0.9543,0.8914,64
Lat1,0.9446,0.9102,64
Lat1,0.917,0.9475,64
Lat1,0.93,0.9326,64
Lat1,0.9552,0.8892,64
Lat1,0.9198,0.9471,64
Lat1,0.9206,0.918,64
Lat1,0.8902,0.9617,64
Lat1,0.8838,0.9705,64
Lat1,0.8988,0.9592,64
Lat1,0.9297,0.9271,64
Lat1,0.9049,0.9538,64
Lat1,0.9149,0.9376,64
Lat1,0.9397,0.9055,64
Lat1,0.8838,0.9703,64
Lat1,0.8902,0.9676,64
Lat1,0.9009,0.9286,64
Lat1,0.8961,0.9589,64
Lat1,0.9483,0.8977,64
Lat1,0.9302,0.9224,64
Lat1,0.9242,0.9291,64
Lat1,0.8781,0.9726,64
Lat1,0.9129,0.9458,64
Lat1,0.9108,0.9183,64
Lat1,0.9199,0.9323,64
Lat1,0.8943,0.9589,64
Lat1,0.9431,0.901,64
Lat1,0.936,0.9283,64
Lat1,0.9262,0.9292,64
Lat1,0.9364,0.9268,64
MCT1 (with templates),0.9728,0.7974,64
MCT1 (with templates),0.9752,0.8031,64
MCT1 (with templates),0.9689,0.787,64
MCT1 (with templates),0.9756,0.7981,64
MCT1 (with templates),0.9049,0.9209,64
MCT1 (with templates),0.9724,0.8303,64
MCT1 (with templates),0.9735,0.8024,64
MCT1 (with templates),0.9746,0.8065,64
MCT1 (with templates),0.9756,0.8053,64
MCT1 (with templates),0.9536,0.8691,64
MCT1 (with templates),0.9744,0.8038,64
MCT1 (with templates),0.9741,0.8389,64
MCT1 (with templates),0.9761,0.816,64
MCT1 (with templates),0.9746,0.8043,64
MCT1 (with templates),0.9658,0.8629,64
MCT1 (with templates),0.9743,0.8044,64
MCT1 (with templates),0.9647,0.8534,64
MCT1 (with templates),0.9796,0.8072,64
MCT1 (with templates),0.9769,0.8033,64
MCT1 (with templates),0.9779,0.8016,64
MCT1 (with templates),0.9745,0.8003,64
MCT1 (with templates),0.9773,0.802,64
MCT1 (with templates),0.9752,0.7939,64
MCT1 (with templates),0.9757,0.8056,64
MCT1 (with templates),0.9775,0.7983,64
MCT1 (with templates),0.9762,0.8062,64
MCT1 (with templates),0.9762,0.799,64
MCT1 (with templates),0.9293,0.8943,64
MCT1 (with templates),0.9769,0.8003,64
MCT1 (with templates),0.9713,0.7938,64
MCT1 (with templates),0.9749,0.8035,64
MCT1 (with templates),0.9743,0.8128,64
MCT1 (with templates),0.9725,0.7999,64
MCT1 (with templates),0.9722,0.8002,64
MCT1 (with templates),0.9745,0.7983,64
MCT1 (with templates),0.9757,0.8034,64
MCT1 (with templates),0.977,0.8016,64
MCT1 (with templates),0.973,0.7999,64
MCT1 (with templates),0.9782,0.8029,64
MCT1 (with templates),0.972,0.8073,64
MCT1 (with templates),0.974,0.8006,64
MCT1 (with templates),0.9757,0.8067,64
MCT1 (with templates),0.9764,0.8008,64
MCT1 (with templates),0.9746,0.7961,64
MCT1 (with templates),0.9702,0.7988,64
MCT1 (with templates),0.7832,0.9824,64
MCT1 (with templates),0.9047,0.9411,64
MCT1 (with templates),0.9768,0.8044,64
MCT1 (with templates),0.9559,0.8682,64
MCT1 (with templates),0.9771,0.8116,64
ASCT2,0.8719,0.709,128
ASCT2,0.9196,0.6753,128
ASCT2,0.8877,0.6957,128
ASCT2,0.9224,0.6757,128
ASCT2,0.918,0.6803,128
ASCT2,0.9163,0.6762,128
ASCT2,0.6171,0.9559,128
ASCT2,0.9084,0.6802,128
ASCT2,0.9261,0.6747,128
ASCT2,0.8773,0.7089,128
ASCT2,0.9099,0.6851,128
ASCT2,0.819,0.7266,128
ASCT2,0.9275,0.6714,128
ASCT2,0.9175,0.6841,128
ASCT2,0.8724,0.7039,128
ASCT2,0.9122,0.6838,128
ASCT2,0.7793,0.7762,128
ASCT2,0.8618,0.7076,128
ASCT2,0.8718,0.7121,128
ASCT2,0.9341,0.6751,128
ASCT2,0.9171,0.6722,128
ASCT2,0.9074,0.6881,128
ASCT2,0.9326,0.6856,128
ASCT2,0.8385,0.7272,128
ASCT2,0.9113,0.6852,128
ASCT2,0.818,0.7312,128
ASCT2,0.6236,0.9626,128
ASCT2,0.9153,0.6851,128
ASCT2,0.9199,0.691,128
ASCT2,0.9004,0.7002,128
ASCT2,0.8361,0.7238,128
ASCT2,0.8981,0.6927,128
ASCT2,0.8786,0.7074,128
ASCT2,0.621,0.9565,128
ASCT2,0.7882,0.7588,128
ASCT2,0.9089,0.6764,128
ASCT2,0.8908,0.6905,128
ASCT2,0.8331,0.7253,128
ASCT2,0.9114,0.6929,128
ASCT2,0.7588,0.7926,128
ASCT2,0.9349,0.6738,128
ASCT2,0.9143,0.6832,128
ASCT2,0.8142,0.7483,128
ASCT2,0.6665,0.9103,128
ASCT2,0.8818,0.6954,128
ASCT2,0.9298,0.6596,128
ASCT2,0.932,0.6804,128
ASCT2,0.8955,0.6961,128
ASCT2,0.6219,0.9485,128
ASCT2,0.889,0.7026,128
MCT1 (without templates),0.974,0.8018,128
MCT1 (without templates),0.9749,0.7989,128
MCT1 (without templates),0.971,0.7967,128
MCT1 (without templates),0.9728,0.8113,128
MCT1 (without templates),0.9736,0.8064,128
MCT1 (without templates),0.9744,0.812,128
MCT1 (without templates),0.9788,0.8019,128
MCT1 (without templates),0.9775,0.795,128
MCT1 (without templates),0.9749,0.8028,128
MCT1 (without templates),0.974,0.7944,128
MCT1 (without templates),0.9733,0.7982,128
MCT1 (without templates),0.9745,0.8008,128
MCT1 (without templates),0.9749,0.8077,128
MCT1 (without templates),0.9759,0.8015,128
MCT1 (without templates),0.9757,0.7999,128
MCT1 (without templates),0.9749,0.7988,128
MCT1 (without templates),0.975,0.8113,128
MCT1 (without templates),0.9743,0.8062,128
MCT1 (without templates),0.9754,0.7973,128
MCT1 (without templates),0.975,0.7961,128
MCT1 (without templates),0.9738,0.8007,128
MCT1 (without templates),0.9743,0.7992,128
MCT1 (without templates),0.9744,0.8021,128
MCT1 (without templates),0.973,0.7923,128
MCT1 (without templates),0.9767,0.7982,128
MCT1 (without templates),0.9737,0.8049,128
MCT1 (without templates),0.9749,0.8082,128
MCT1 (without templates),0.9771,0.7999,128
MCT1 (without templates),0.9779,0.8026,128
MCT1 (without templates),0.976,0.7935,128
MCT1 (without templates),0.977,0.8012,128
MCT1 (without templates),0.9772,0.8006,128
MCT1 (without templates),0.9782,0.8026,128
MCT1 (without templates),0.9753,0.796,128
MCT1 (without templates),0.976,0.8043,128
MCT1 (without templates),0.9741,0.7909,128
MCT1 (without templates),0.975,0.8069,128
MCT1 (without templates),0.9753,0.8018,128
MCT1 (without templates),0.9766,0.798,128
MCT1 (without templates),0.9745,0.7984,128
MCT1 (without templates),0.9773,0.8026,128
MCT1 (without templates),0.9761,0.8011,128
MCT1 (without templates),0.9727,0.8026,128
MCT1 (without templates),0.9781,0.8041,128
MCT1 (without templates),0.9691,0.7979,128
MCT1 (without templates),0.9749,0.7939,128
MCT1 (without templates),0.9775,0.7953,128
MCT1 (without templates),0.976,0.8009,128
MCT1 (without templates),0.9778,0.7962,128
MCT1 (without templates),0.9776,0.802,128
STP10,0.9015,0.9301,128
STP10,0.9219,0.9114,128
STP10,0.9058,0.9318,128
STP10,0.9077,0.9266,128
STP10,0.8909,0.9375,128
STP10,0.9338,0.9025,128
STP10,0.8971,0.934,128
STP10,0.8917,0.937,128
STP10,0.9308,0.9088,128
STP10,0.9024,0.9299,128
STP10,0.9322,0.9048,128
STP10,0.9194,0.9196,128
STP10,0.9246,0.9133,128
STP10,0.9213,0.9154,128
STP10,0.8898,0.9371,128
STP10,0.8852,0.9402,128
STP10,0.9116,0.9224,128
STP10,0.8942,0.9344,128
STP10,0.8835,0.9407,128
STP10,0.9437,0.8902,128
STP10,0.9441,0.888,128
STP10,0.8899,0.937,128
STP10,0.8924,0.9399,128
STP10,0.9418,0.8962,128
STP10,0.9365,0.9014,128
STP10,0.9369,0.8982,128
STP10,0.9273,0.9108,128
STP10,0.9627,0.869,128
STP10,0.8992,0.9369,128
STP10,0.9371,0.9037,128
STP10,0.9397,0.8951,128
STP10,0.9315,0.9037,128
STP10,0.9495,0.8814,128
STP10,0.9307,0.9002,128
STP10,0.9311,0.9058,128
STP10,0.9403,0.8987,128
STP10,0.8919,0.9362,128
STP10,0.8914,0.9354,128
STP10,0.9432,0.8893,128
STP10,0.9114,0.9269,128
STP10,0.9182,0.9189,128
STP10,0.9435,0.8893,128
STP10,0.8941,0.9378,128
STP10,0.9374,0.8959,128
STP10,0.9495,0.8851,128
STP10,0.9457,0.8887,128
STP10,0.9267,0.9104,128
STP10,0.9009,0.9328,128
STP10,0.9298,0.9099,128
STP10,0.9278,0.9094,128
